id,lat,lng,confirmed,deaths,recovered,existing,Province/State,timestamp,country,Confirmed
Mainland China Fujian,26.0789,117.9874,296,1,260,35,Fujian,2020-03-03,Chine,296
Mainland China Fujian,26.0789,117.9874,296,1,270,25,Fujian,2020-03-04,Chine,296
Mainland China Fujian,26.0789,117.9874,296,1,277,18,Fujian,2020-03-05,Chine,296
Mainland China Fujian,26.0789,117.9874,296,1,284,11,Fujian,2020-03-06,Chine,296
Mainland China Fujian,26.0789,117.9874,296,1,295,0,Fujian,2020-03-07,Chine,296
Mainland China Fujian,26.0789,117.9874,296,1,295,0,Fujian,2020-03-08,Chine,296
Mainland China Fujian,26.0789,117.9874,296,1,295,0,Fujian,2020-03-09,Chine,296
Mainland China Fujian,26.0789,117.9874,296,1,295,0,Fujian,2020-03-10,Chine,296
Mainland China Gansu,36.0611,103.8343,0,0,0,0,Gansu,2020-01-22,Chine,0
Mainland China Gansu,36.0611,103.8343,2,0,0,2,Gansu,2020-01-23,Chine,2
Mainland China Gansu,36.0611,103.8343,2,0,0,2,Gansu,2020-01-24,Chine,2
Mainland China Gansu,36.0611,103.8343,4,0,0,4,Gansu,2020-01-25,Chine,4
Mainland China Gansu,36.0611,103.8343,7,0,0,7,Gansu,2020-01-26,Chine,7
Mainland China Gansu,36.0611,103.8343,14,0,0,14,Gansu,2020-01-27,Chine,14
Mainland China Gansu,36.0611,103.8343,19,0,0,19,Gansu,2020-01-28,Chine,19
Mainland China Gansu,36.0611,103.8343,24,0,0,24,Gansu,2020-01-29,Chine,24
Mainland China Gansu,36.0611,103.8343,26,0,0,26,Gansu,2020-01-30,Chine,26
Mainland China Gansu,36.0611,103.8343,29,0,0,29,Gansu,2020-01-31,Chine,29
Mainland China Gansu,36.0611,103.8343,40,0,0,40,Gansu,2020-02-01,Chine,40
Mainland China Gansu,36.0611,103.8343,51,0,3,48,Gansu,2020-02-02,Chine,51
Mainland China Gansu,36.0611,103.8343,55,0,3,52,Gansu,2020-02-03,Chine,55
Mainland China Gansu,36.0611,103.8343,57,0,4,53,Gansu,2020-02-04,Chine,57
Mainland China Gansu,36.0611,103.8343,62,0,6,56,Gansu,2020-02-05,Chine,62
Mainland China Gansu,36.0611,103.8343,62,0,6,56,Gansu,2020-02-06,Chine,62
Mainland China Gansu,36.0611,103.8343,67,0,9,58,Gansu,2020-02-07,Chine,67
Mainland China Gansu,36.0611,103.8343,79,1,12,66,Gansu,2020-02-08,Chine,79
Mainland China Gansu,36.0611,103.8343,83,2,16,65,Gansu,2020-02-09,Chine,83
Mainland China Gansu,36.0611,103.8343,83,2,17,64,Gansu,2020-02-10,Chine,83
Mainland China Gansu,36.0611,103.8343,86,2,24,60,Gansu,2020-02-11,Chine,86
Mainland China Gansu,36.0611,103.8343,87,2,31,54,Gansu,2020-02-12,Chine,87
Mainland China Gansu,36.0611,103.8343,90,2,39,49,Gansu,2020-02-13,Chine,90
Mainland China Gansu,36.0611,103.8343,90,2,39,49,Gansu,2020-02-14,Chine,90
Mainland China Gansu,36.0611,103.8343,90,2,49,39,Gansu,2020-02-15,Chine,90
Mainland China Gansu,36.0611,103.8343,90,2,54,34,Gansu,2020-02-16,Chine,90
Mainland China Gansu,36.0611,103.8343,91,2,58,31,Gansu,2020-02-17,Chine,91
Mainland China Gansu,36.0611,103.8343,91,2,62,27,Gansu,2020-02-18,Chine,91
Mainland China Gansu,36.0611,103.8343,91,2,65,24,Gansu,2020-02-19,Chine,91
Mainland China Gansu,36.0611,103.8343,91,2,71,18,Gansu,2020-02-20,Chine,91
Mainland China Gansu,36.0611,103.8343,91,2,76,13,Gansu,2020-02-21,Chine,91
Mainland China Gansu,36.0611,103.8343,91,2,76,13,Gansu,2020-02-22,Chine,91
Mainland China Gansu,36.0611,103.8343,91,2,78,11,Gansu,2020-02-23,Chine,91
Mainland China Gansu,36.0611,103.8343,91,2,80,9,Gansu,2020-02-24,Chine,91
Mainland China Gansu,36.0611,103.8343,91,2,80,9,Gansu,2020-02-25,Chine,91
Mainland China Gansu,36.0611,103.8343,91,2,81,8,Gansu,2020-02-26,Chine,91
Mainland China Gansu,36.0611,103.8343,91,2,81,8,Gansu,2020-02-27,Chine,91
Mainland China Gansu,36.0611,103.8343,91,2,82,7,Gansu,2020-02-28,Chine,91
Mainland China Gansu,36.0611,103.8343,91,2,82,7,Gansu,2020-02-29,Chine,91
Mainland China Gansu,36.0611,103.8343,91,2,84,5,Gansu,2020-03-01,Chine,91
Mainland China Gansu,36.0611,103.8343,91,2,85,4,Gansu,2020-03-02,Chine,91
Mainland China Gansu,36.0611,103.8343,91,2,86,3,Gansu,2020-03-03,Chine,91
Mainland China Gansu,36.0611,103.8343,91,2,87,2,Gansu,2020-03-04,Chine,91
Mainland China Gansu,36.0611,103.8343,102,2,87,13,Gansu,2020-03-05,Chine,102
Mainland China Gansu,36.0611,103.8343,119,2,87,30,Gansu,2020-03-06,Chine,119
Mainland China Gansu,36.0611,103.8343,120,2,87,31,Gansu,2020-03-07,Chine,120
Mainland China Gansu,36.0611,103.8343,124,2,87,35,Gansu,2020-03-08,Chine,124
Mainland China Gansu,36.0611,103.8343,124,2,88,34,Gansu,2020-03-09,Chine,124
Mainland China Gansu,36.0611,103.8343,125,2,88,35,Gansu,2020-03-10,Chine,125
Mainland China Gansu,36.0611,103.8343,0,0,0,0,Gansu,2020-03-11,Chine,0
Mainland China Guangdong,23.3417,113.4244,26,0,0,26,Guangdong,2020-01-22,Chine,26
Mainland China Guangdong,23.3417,113.4244,32,0,2,30,Guangdong,2020-01-23,Chine,32
Mainland China Guangdong,23.3417,113.4244,53,0,2,51,Guangdong,2020-01-24,Chine,53
Mainland China Guangdong,23.3417,113.4244,78,0,2,76,Guangdong,2020-01-25,Chine,78
Mainland China Guangdong,23.3417,113.4244,111,0,2,109,Guangdong,2020-01-26,Chine,111
Mainland China Guangdong,23.3417,113.4244,151,0,4,147,Guangdong,2020-01-27,Chine,151
Mainland China Guangdong,23.3417,113.4244,207,0,4,203,Guangdong,2020-01-28,Chine,207
Mainland China Guangdong,23.3417,113.4244,277,0,5,272,Guangdong,2020-01-29,Chine,277
Mainland China Guangdong,23.3417,113.4244,354,0,10,344,Guangdong,2020-01-30,Chine,354
Mainland China Guangdong,23.3417,113.4244,436,0,11,425,Guangdong,2020-01-31,Chine,436
Mainland China Guangdong,23.3417,113.4244,535,0,14,521,Guangdong,2020-02-01,Chine,535
Mainland China Guangdong,23.3417,113.4244,632,0,15,617,Guangdong,2020-02-02,Chine,632
Mainland China Guangdong,23.3417,113.4244,725,0,21,704,Guangdong,2020-02-03,Chine,725
Mainland China Guangdong,23.3417,113.4244,813,0,30,783,Guangdong,2020-02-04,Chine,813
Mainland China Guangdong,23.3417,113.4244,895,0,49,846,Guangdong,2020-02-05,Chine,895
Mainland China Guangdong,23.3417,113.4244,970,0,69,901,Guangdong,2020-02-06,Chine,970
Mainland China Guangdong,23.3417,113.4244,1034,1,88,945,Guangdong,2020-02-07,Chine,1034
Mainland China Guangdong,23.3417,113.4244,1095,1,112,982,Guangdong,2020-02-08,Chine,1095
Mainland China Guangdong,23.3417,113.4244,1131,1,141,989,Guangdong,2020-02-09,Chine,1131
Mainland China Guangdong,23.3417,113.4244,1159,1,167,991,Guangdong,2020-02-10,Chine,1159
Mainland China Guangdong,23.3417,113.4244,1177,1,212,964,Guangdong,2020-02-11,Chine,1177
Mainland China Guangdong,23.3417,113.4244,1219,1,275,943,Guangdong,2020-02-12,Chine,1219
Mainland China Guangdong,23.3417,113.4244,1241,2,314,925,Guangdong,2020-02-13,Chine,1241
Mainland China Guangdong,23.3417,113.4244,1261,2,362,897,Guangdong,2020-02-14,Chine,1261
Mainland China Guangdong,23.3417,113.4244,1294,2,410,882,Guangdong,2020-02-15,Chine,1294
Mainland China Guangdong,23.3417,113.4244,1316,2,465,849,Guangdong,2020-02-16,Chine,1316
Mainland China Guangdong,23.3417,113.4244,1322,4,524,794,Guangdong,2020-02-17,Chine,1322
Mainland China Guangdong,23.3417,113.4244,1328,4,565,759,Guangdong,2020-02-18,Chine,1328
Mainland China Guangdong,23.3417,113.4244,1331,5,606,720,Guangdong,2020-02-19,Chine,1331
Mainland China Guangdong,23.3417,113.4244,1332,5,642,685,Guangdong,2020-02-20,Chine,1332
Mainland China Guangdong,23.3417,113.4244,1333,5,690,638,Guangdong,2020-02-21,Chine,1333
Mainland China Guangdong,23.3417,113.4244,1339,5,728,606,Guangdong,2020-02-22,Chine,1339
Mainland China Guangdong,23.3417,113.4244,1342,6,755,581,Guangdong,2020-02-23,Chine,1342
Mainland China Guangdong,23.3417,113.4244,1345,6,786,553,Guangdong,2020-02-24,Chine,1345
Mainland China Guangdong,23.3417,113.4244,1347,7,822,518,Guangdong,2020-02-25,Chine,1347
Mainland China Guangdong,23.3417,113.4244,1347,7,851,489,Guangdong,2020-02-26,Chine,1347
Mainland China Guangdong,23.3417,113.4244,1347,7,890,450,Guangdong,2020-02-27,Chine,1347
Mainland China Guangdong,23.3417,113.4244,1348,7,935,406,Guangdong,2020-02-28,Chine,1348
Mainland China Guangdong,23.3417,113.4244,1349,7,983,359,Guangdong,2020-02-29,Chine,1349
Mainland China Guangdong,23.3417,113.4244,1349,7,1016,326,Guangdong,2020-03-01,Chine,1349
